

央视频道,#genre#
动作电影,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
安徽卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225925/main.m3u8
北京卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225931/main.m3u8
湖南卫视,http://39.134.65.3:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225610/index.m3u8
江苏卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225938/main.m3u8
辽宁卫视,http://39.135.133.154:80/TVOD/88888888/224/3221226089/main.m3u8
广东卫视,http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
东南卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225950/main.m3u8
四川卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226338/index.m3u8
天津卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226459/index.m3u8
天津卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226459/index.m3u8
浙江卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226342/index.m3u8
浙江卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
重庆卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226409/index.m3u8
黑龙江卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226327/index.m3u8
黑龙江卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
广西卫视,http://39.135.133.167:80/TVOD/88888888/224/3221226091/main.m3u8

贵州卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226474/index.m3u8

河北卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225961/main.m3u8
河南卫视,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
吉林卫视,http://39.135.133.168:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226397/index.m3u8
江西卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225935/main.m3u8
山东卫视,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
深圳卫视,http://39.135.133.167:80/TVOD/88888888/224/3221225668/main.m3u8


电视剧,#genre#
国语译制电影,http://sdytqsy.top:35455/douyu/2436390
第一滴血全集,http://sdytqsy.top:35455/yy/1354932355
敢死队全轮播,http://sdytqsy.top:35455/yy/1382735573
速度与激情集,http://sdytqsy.top:35455/yy/1382736911
漫威系列轮播,http://sdytqsy.top:35455/yy/1354932402
变形金刚轮播,http://sdytqsy.top:35455/yy/1382736803
哈利波特全集,http://sdytqsy.top:35455/yy/1382745105
夺宝奇兵全集,http://sdytqsy.top:35455/yy/1382736833
机械战警全集,http://sdytqsy.top:35455/yy/1382736854
古惑仔国轮播,http://sdytqsy.top:35455/yy/1458015189
黑衣一二轮播,http://sdytqsy.top:35455/yy/1354930936
叠影重重全集,http://sdytqsy.top:35455/yy/1382735570
美剧解说轮播,http://sdytqsy.top:35455/douyu/9643264
经典美剧解说,http://sdytqsy.top:35455/douyu/9123570
雪中悍刀行剧,http://rihou.cc:555/huyad.php?id=11336592
庆余年电视剧,http://rihou.cc:555/huyad.php?id=11352960
琅琊榜电视剧,http://zby.xjqxz.top/lyb/live.m3u8
83射雕英雄传,http://sdytqsy.top:35455/yy/1354210357
95神雕侠侣粤,http://sdytqsy.top:35455/yy/1354926637
96笑傲江湖版,http://sdytqsy.top:35455/yy/1354930909
87经典红楼梦,http://sdytqsy.top:35455/yy/1382745084
新白娘子轮播,http://sdytqsy.top:35455/yy/1354930969
仙剑奇侠传剧,http://sdytqsy.top:35455/yy/1382749903
花千骨电视剧,http://sdytqsy.top:35455/yy/1354943110
鹊刀门传奇剧,http://sdytqsy.top:35455/yy/1355344777
三生三世轮播,http://zby.xjqxz.top/sssszss/live.m3u8
甄嬛传电视剧,http://zby.xjqxz.top/live8/live.m3u8
甄嬛传电视剧,http://rihou.cc:555/huyad.php?id=30145009
芈月传电视剧,http://rihou.cc:555/huyad.php?id=11352975
延禧攻略轮播,http://rihou.cc:555/huyad.php?id=26355864
卿卿日常轮播,http://zby.xjqxz.top/qqrc/live.m3u8
知否知否轮播,http://zby.xjqxz.top/zfzf/live.m3u8
与凤行电视剧,http://rihou.cc:555/huyad.php?id=26355866
开端电视轮播,http://rihou.cc:555/huyad.php?id=11342397
我的体育老师,http://sdytqsy.top:35455/yy/1382745169
如果岁月轮播,http://sdytqsy.top:35455/yy/1382736883
流金岁月轮播,http://sdytqsy.top:35455/yy/1382749906
向风而行轮播,http://zby.xjqxz.top/xfex/live.m3u8
欢乐颂电视剧,http://sdytqsy.top:35455/douyu/3756989
好先生电视剧,http://sdytqsy.top:35455/douyu/9650792
我的前半生剧,http://sdytqsy.top:35455/yy/1382735564
伪装者电视剧,http://sdytqsy.top:35455/yy/1354936244
警察荣誉轮播,http://zby.xjqxz.top/live16/live.m3u8
亮剑电视轮播,http://rihou.cc:555/huyad.php?id=30080238
雪豹电视轮播,http://rihou.cc:555/huyad.php?id=29580970
火蓝刀锋轮播,http://sdytqsy.top:35455/yy/1382737892
二炮手电视剧,http://sdytqsy.top:35455/yy/1354930964
炮神电视轮播,http://sdytqsy.top:35455/yy/22089862
风筝电视轮播,http://sdytqsy.top:35455/yy/1354931585
武林外传轮播,http://sdytqsy.top:35455/yy/1355652820
科幻Fans轮播,http://sdytqsy.top:35455/douyu/3508304
科幻解说轮播,http://sdytqsy.top:35455/douyu/9338839
科幻梦工场播,http://rihou.cc:555/huyad.php?id=15152155
笑声传奇轮播,http://sdytqsy.top:35455/yy/1382736880
笑傲帮集轮播,http://sdytqsy.top:35455/yy/1382735555
笑傲江湖一季,http://sdytqsy.top:35455/yy/1382749896
笑傲江湖二季,http://sdytqsy.top:35455/yy/1382736914
欢乐集结号播,http://sdytqsy.top:35455/yy/1354931582
欢乐集结号三,http://sdytqsy.top:35455/yy/1382736822
欢乐集结号四,http://sdytqsy.top:35455/yy/1382736889
脱口秀大会肆,http://rihou.cc:555/huyad.php?id=30080243
脱口秀大会伍,http://rihou.cc:555/huyad.php?id=11352875
